Sl.No,Name of the station,District,Taluk,Revenue Village,Latitude,Longitude,Started on
31, Airport Peelamedu,Coimbatore,Coimbatore north,KALAPATTY (EAST),11.0748,77.0035,16-05-1995
32, Periyanaickenpalayam,Coimbatore,Coimbatore north,PERIYANAIKANPALAYAM.,11.1582,76.9528,21-11-1992
33, T.N.A.U,Coimbatore,Coimbatore north,THELUNGUPALAYAM.,11.0124,76.9357,05-03-1989
34, Coimbatore South,Coimbatore,Coimbatore south,COIMBATORE OLD VILL. AND OL,11.0009,76.9709,15-04-2004
35," Taluk Office, Kinathukkadavu",Coimbatore,Kinathukadavu,KINTHUKADAVU.,10.822,77.016,07-11-2022
36," Railway Station, Podanur",Coimbatore,Madukarai,KURICHY.,11.011,77.038,07-11-2022
37," Taluk Office, Madukkarai",Coimbatore,Madukarai,MADUKARAI.,10.89,76.908,07-11-2022
38," Pillur Dam, Mettupalayam .",Coimbatore,Mettupalayam,NELLITHURAI.,11.018,76.974,07-11-2022
39, Mettupalayam,Coimbatore,Mettupalayam,SIKKADASAMPALAYAM,11.2891,76.941,16-05-1990
40, Siruvani Adivaram (Water Treatment Plant),Coimbatore,Perur,MADAVARAYAPURAM.,10.963,76.681,07-11-2022
41," BDO, Thondamuthur",Coimbatore,Perur,THONDAMUTHUR.,10.987,76.844,07-11-2022
42," PWD IB, (Inspection Bungalow), Makkinampatti.",Coimbatore,Pollachi,MAKKINAMPATTY,10.656,77.032,07-11-2022
43," Taluk Office, Pollachi",Coimbatore,Pollachi,POLLACHI.,10.6604,77.0073,13-04-1988
44, Sulur,Coimbatore,Sulur,SULUR.,11.0299,77.1227,10-07-1990
45," PWD office, Vaarappatti",Coimbatore,Sulur,VARAPATTY.,10.869,77.191,07-11-2022
46, Chinnakalar,Coimbatore,Valparai,ANAMALAI KUNDRUGAL.,10.3374,76.9641,15-11-1976
47, Cincona,Coimbatore,Valparai,ANAMALAI KUNDRUGAL.,10.2877,76.9915,19-10-1988
48, Sholayar,Coimbatore,Valparai,ANAMALAI KUNDRUGAL.,10.2993,76.8814,18-10-1976
49," Taluk Office, Valparai",Coimbatore,Valparai,ANAMALAI KUNDRUGAL.,10.3243,76.954,14-02-1976
50, Valparai PAP,Coimbatore,Valparai,ANAMALAI KUNDRUGAL.,10.3321,76.9609,14-09-1976
51, Bhuvanagiri,Cuddalore,Bhuvanagiri,Mel Bhuvanagiri,11.4418,79.6448,08-09-1984
52, Parangipettai,Cuddalore,Bhuvanagiri,Parangipettai,11.5,79.7666,16-03-1967
53, Sethiyathope,Cuddalore,Bhuvanagiri,Sethiayathoppu,11.434,79.5405,23-10-1999
54, Chidambaram,Cuddalore,Chidambaram,Chidambaram (Municipal),11.4004,79.6882,01-03-2017
55, Annamalai Nagar,Cuddalore,Chidambaram,Thiruvakulam,11.3893,79.7158,25-08-1987
56, Indian Metrology Department,Cuddalore,Cuddalore,Manjakuppam,11.7746,79.7674,1894-06-01
57, Collectorate,Cuddalore,Cuddalore,Velisemmandalam,11.7727,79.7561,18-09-2017
58, Lalpet,Cuddalore,Kattumannarkoil,Lalpettai,11.2984,79.5488,01-10-1975
59, Kattumannarkoil,Cuddalore,Kattumannarkoil,Udaiyargudi,11.2758,79.5511,05-07-1910
60, Kothavacherry,Cuddalore,Kurinjipadi,Kothavachery,11.5205,79.6352,05-10-1905
61, Kurinjipadi,Cuddalore,Kurinjipadi,Rasakuppam,11.5577,79.5693,25-09-2017
62, Vadakuthu,Cuddalore,Kurinjipadi,Vadakuthu,11.6063,79.5494,01-10-2017
63, SRC Kudithangi,Cuddalore,Panruti,Kudithangi,11.7779,79.6683,20-08-2004
64, Vanamadevi,Cuddalore,Panruti,Palur,11.7471,79.6363,02-07-1957
65, Panruti,Cuddalore,Panruti,Panruti,11.7628,79.5521,09-05-1984
66, Srimushnam,Cuddalore,Srimushanam,Srimushnam,11.4019,79.4011,17-02-1980
67, Kilacheruvai,Cuddalore,Titagudi,Keezh cheruvaai,11.414,79.098,01-02-1980
68, Lakkur,Cuddalore,Titagudi,Lakkur,11.4663,79.0186,05-12-1972
69, Pelandurai,Cuddalore,Titagudi,Pelanthurai,11.2763,79.5084,10-05-1913
70, Tozhudur,Cuddalore,Titagudi,Ramanatham,11.4062,79.0025,01-02-1980
71, Kattumayilur,Cuddalore,Veppur,Kattumailur,11.5814,79.1125,04-07-1974
72, Me.Mathur,Cuddalore,Veppur,Me.Mathur,11.5617,79.223,1868-07-01
73, Veppur,Cuddalore,Veppur,Veppur,11.5323,79.1239,01-07-1990
74, Kuppanatham,Cuddalore,Vridhachalam,Kuppanatham,11.5358,79.3545,03-04-2001
75, Vridhachalam,Cuddalore,Vridhachalam,Vridhachalam,11.5179,79.3347,01-06-1978
76, Dharmapuri,Dharmapuri,Dharmapuri,VELLAIKKAVUNDANPALAIYAM,12.1273,78.1629,01-11-2012
77, Harur,Dharmapuri,Harur,HARUR,12.058,78.4793,01-11-2012
78, Subramania siva co.op sugar mill (Morappur),Dharmapuri,Harur,VETRAPATTI,12.125,78.3929,02-08-2023
79, Taluk Office (Nallampalli),Dharmapuri,Nallampalli,NALLAMPALLI,12.0581,78.1128,01-10-2024
80, Marandahalli TB,Dharmapuri,Palacode,MARANDAHALLI,12.3855,78.0021,01-11-2012
81, Palacode,Dharmapuri,Palacode,PALAKODU,12.2988,78.0739,01-11-2012
82," Taluk office, Pappireddipatti",Dharmapuri,Pappireddipatti,PAPPIREDDIPATTY,11.9206,78.3655,01-11-2012
83, Hogenakkal Forest tb,Dharmapuri,Pennagaram,Koothapadi,12.1185,77.7817,01-11-2012
84, Pennagaram,Dharmapuri,Pennagaram,Pennagaram,12.1344,77.8937,01-11-2012
85, Dindigul,Dindigul,Dindigul west,Chettinaickenpatty,10.35,77.9667,01-01-1971
86, Kamatchipuram,Dindigul,Dindigul west,Kamatchipuram,10.4272,77.834,01-01-1973
87, Kodaikanal,Dindigul,Kodaikanal,Kodaikanal,10.2333,77.4667,1899-01-01
88, Kodaikanal boat club,Dindigul,Kodaikanal,Kodaikanal,10.2338,77.4864,1890-01-01
89, Natham,Dindigul,Natham,Natham,10.2302,78.2227,01-01-1972
90, Nilakottai,Dindigul,Nilakottai,Nilakottai,10.1667,77.8522,01-01-1976
91, Chatrapatti (Ottanchatram),Dindigul,Oddenchatram,Chatrapatty,10.4686,77.6525,1894-01-01
92, Palani,Dindigul,Palani,Palani,10.4522,77.5167,01-01-1971
93, TOBACCO STATION(VDR),Dindigul,Vedasandur,Vedasandur,10.5302,77.9531,01-01-1962
94, VEDASANDUR,Dindigul,Vedasandur,Vedasandur,10.5167,77.9522,01-01-1971
95, Ammapettai,Erode,Anthiyur,AMMAPETTAI,11.37,77.44,07-11-2022
96, Varattupallam,Erode,Anthiyur,BARGUR,11.4,77.34,07-11-2022
97, Bhavani,Erode,Bhavani,BHAVANI,11.449,77.6839,1890-05-01
98, Kavundapadi,Erode,Bhavani,KAVINDAPADI,11.4248,77.3818,07-11-2022
99, Erode,Erode,Erode,ERODE (B),11.35,77.7167,1890-01-01
100, Elanthakuttai Medu,Erode,Gobichettipalayam,KALINGIYAM (B),11.4239,77.43,07-11-2022
101, Kunderipallam,Erode,Gobichettipalayam,KONKARA PALAYAM (B),11.5628,77.3685,07-11-2022
102, Kodivery,Erode,Gobichettipalayam,PERIYAKODIVERI,11.4729,77.2987,07-11-2022
103, Gobichettipalayam,Erode,Gobichettipalayam,VEERAPANDI,11.4667,77.4333,08-11-1923
104, Kodumudi,Erode,Kodumudi,KODUMUDI (B),11.0833,77.8667,01-11-1976
105, Modakkurichi,Erode,Modakkurichi,ELUMATHUR,11.2125,77.7757,07-11-2022
106, Nambiyur,Erode,Nambiyur,NAMBIYUR,11.3678,77.3232,07-11-2022
107, Chennimalai,Erode,Perundurai,CHENNIMALAI,11.1588,77.6032,07-11-2022
108, Perundurai,Erode,Perundurai,PERUNDURAI,11.2833,77.5833,1889-11-01
109, Bhavanisagar,Erode,Sathyamangalam,MUDUKKANTHURAI,11.4733,77.1303,02-03-1954
110, Sathyamangalam,Erode,Sathyamangalam,SATHYAMANGALAM,11.5,77.25,02-03-1975
111, Thalavadi,Erode,Thalavadi,THALAVADI,11.8041,77.0081,02-03-1961
112, Gomugi Dam (PWD),Kallakurichi,Chinnaselam,KACHIRAYAPALAIYAM,11.7654,78.8213,07-11-2022
113, KCS MILL-2 Kachirayopalayam,Kallakurichi,Chinnaselam,KACHIRAYAPALAIYAM,11.7453,78.8766,18-10-2018
114, Kallakurichi,Kallakurichi,Kallakurichi,KALLAKURICHI,11.7333,78.9333,01-01-2011
115, DSCL Thiyadurugam,Kallakurichi,Kallakurichi,THIYAGAI,11.7446,79.0744,18-10-2017
